=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 10:40:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
15M  40     20     40     70     40     20     0      1      0      0      1        1      100.0% 0.19      
15M  40     20     90     70     30     30     -1     -1     1      1      1        1      100.0% 0.22      
15M  40     30     20     90     60     90     0      1      0      0      1        1      100.0% 0.45      
15M  40     30     40     20     30     60     0      1      0      0      1        1      100.0% 0.11      
15M  40     30     40     50     40     60     -1     1      -1     -1     1        1      100.0% 0.04      
15M  40     30     50     30     20     30     -1     0      1      1      1        1      100.0% 0.07      
15M  40     30     60     20     10     20     0      1      0      0      1        1      100.0% 0.06      
15M  40     40     10     100    90     100    0      0      1      1      1        1      100.0% 0.23      
15M  50     20     10     30     10     10     0      0      -1     -1     1        0      0.0% -0.94     
15M  50     20     10     100    70     60     1      -1     0      0      1        1      100.0% 0.27      
15M  50     20     20     50     50     70     0      1      -1     -1     1        0      0.0% -0.68     
15M  50     20     20     60     60     80     0      0      1      1      1        0      0.0% -0.73     
15M  50     20     20     100    40     40     -1     -1     -1     -1     1        1      100.0% 0.03      
15M  50     20     30     60     40     20     -1     1      0      0      1        1      100.0% 0.04      
15M  50     20     30     60     40     40     1      1      0      0      1        1      100.0% 0.11      
15M  50     20     30     60     90     70     0      1      -1     -1     1        0      0.0% -0.30     
15M  50     20     30     80     40     30     -1     1      1      1      1        0      0.0% -0.29     
15M  50     20     30     100    80     70     0      1      0      0      1        0      0.0% -0.72     
15M  50     20     40     30     40     50     0      -1     0      0      1        1      100.0% 0.53      
15M  50     20     40     30     40     50     1      1      -1     -1     1        0      0.0% -0.34     
15M  50     20     40     50     20     40     1      0      -1     -1     1        0      0.0% -0.19     
15M  50     20     60     40     80     40     1      1      0      0      1        1      100.0% 0.07      
15M  50     20     60     60     20     20     1      1      -1     -1     1        1      100.0% 0.30      
15M  50     20     70     30     20     40     -1     0      -1     -1     1        0      0.0% -0.48     
15M  50     20     70     30     60     60     0      0      -1     -1     1        0      0.0% -0.42     
15M  50     20     70     90     30     20     0      0      -1     -1     1        0      0.0% -0.63     
15M  50     30     30     40     40     30     -1     -1     0      0      1        1      100.0% 0.12      
15M  50     30     50     10     10     30     0      1      1      1      1        1      100.0% 0.04      
15M  50     30     60     10     20     20     0      -1     0      0      1        0      0.0% -0.18     
15M  50     30     60     10     30     60     1      0      1      1      1        0      0.0% -0.23     
15M  50     30     70     20     10     50     0      0      1      1      1        1      100.0% 0.13      
15M  50     40     30     80     70     50     -1     1      0      0      1        0      0.0% -0.62     
15M  50     40     40     10     10     20     0      0      -1     -1     1        0      0.0% -0.34     
15M  50     40     50     40     40     30     -1     -1     0      0      1        1      100.0% 0.09      
15M  50     40     70     10     30     50     0      -1     0      0      1        0      0.0% -0.66     
15M  50     40     70     30     40     30     1      1      0      0      1        0      0.0% -0.64     
15M  50     40     80     60     70     50     0      -1     -1     -1     1        0      0.0% -0.21     
15M  50     40     90     70     50     80     -1     0      -1     -1     1        1      100.0% 0.18      
15M  50     50     30     80     50     30     -1     1      1      1      1        1      100.0% 0.04      
15M  50     50     40     40     50     40     -1     0      1      1      1        0      0.0% -0.24     
15M  60     20     10     70     70     70     0      0      1      1      1        1      100.0% 1.38      
15M  60     20     20     90     20     30     0      0      1      1      1        1      100.0% 0.05      
15M  60     20     30     30     30     30     -1     0      -1     -1     1        0      0.0% -0.56     
15M  60     20     30     40     70     60     0      1      0      0      1        1      100.0% 0.08      
15M  60     20     30     50     40     40     -1     1      0      0      1        1      100.0% 0.26      
15M  60     20     30     50     70     40     -1     -1     0      0      1        1      100.0% 0.28      
15M  60     20     30     60     20     20     0      0      -1     -1     1        1      100.0% 0.19      
15M  60     20     30     70     80     70     0      0      1      1      1        1      100.0% 0.07      
15M  60     20     40     30     40     40     0      -1     0      0      1        1      100.0% 0.69      
15M  60     20     40     40     50     40     1      0      1      1      1        1      100.0% 0.06      
15M  60     20     50     30     20     20     -1     1      1      1      1        1      100.0% 0.19      
15M  60     20     50     30     20     60     -1     1      0      0      1        1      100.0% 0.10      
