=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  50     10     70     20     40     30     -1     0      0      0      1        0      0.0% -0.14     
10M  50     10     70     30     40     40     1      0      0      0      1        1      100.0% 0.38      
10M  50     10     70     40     40     60     1      0      0      0      1        0      0.0% -0.17     
10M  50     10     70     60     20     70     -1     -1     0      0      1        0      0.0% -0.09     
10M  50     10     70     90     30     40     1      0      0      0      1        0      0.0% -0.08     
10M  50     10     80     20     50     30     1      0      0      0      1        1      100.0% 0.52      
10M  50     10     80     60     20     90     -1     -1     0      0      1        0      0.0% -0.17     
10M  50     10     80     60     50     70     1      1      0      0      1        0      0.0% -0.09     
10M  50     10     90     50     10     60     -1     -1     -1     -1     1        0      0.0% -0.09     
10M  50     10     90     70     20     60     0      0      0      0      1        0      0.0% -0.13     
10M  50     10     90     90     40     50     -1     0      0      0      1        0      0.0% -0.14     
10M  50     10     100    50     50     40     0      0      0      0      1        0      0.0% -0.14     
10M  50     20     20     40     30     30     1      0      1      1      1        0      0.0% -0.08     
10M  50     20     40     40     20     90     0      0      0      0      1        1      100.0% 0.33      
10M  50     20     80     40     30     40     0      0      -1     -1     1        0      0.0% -0.54     
10M  50     30     60     10     20     70     -1     0      0      0      1        0      0.0% -0.19     
10M  50     30     60     10     30     50     0      0      0      0      1        0      0.0% -0.19     
10M  50     30     60     20     20     30     -1     -1     0      0      1        0      0.0% -0.12     
10M  50     30     70     40     70     60     1      0      -1     -1     1        0      0.0% -0.21     
10M  50     40     60     20     30     20     1      0      -1     -1     1        0      0.0% -0.21     
10M  50     40     70     30     40     30     -1     0      -1     -1     1        0      0.0% -0.24     
10M  50     40     70     30     70     30     -1     0      0      0      1        1      100.0% 0.34      
10M  50     40     70     40     20     70     -1     0      0      0      1        0      0.0% -0.13     
10M  50     60     70     30     20     20     0      -1     0      0      1        1      100.0% 0.12      
10M  50     70     60     10     20     40     0      0      0      0      1        0      0.0% -0.16     
10M  50     70     70     40     40     40     0      0      -1     -1     1        0      0.0% -0.16     
10M  60     10     20     20     50     40     -1     0      1      1      1        1      100.0% 0.15      
10M  60     10     30     20     70     70     -1     0      0      0      1        1      100.0% 0.47      
10M  60     10     30     60     80     50     0      0      0      0      1        1      100.0% 0.09      
10M  60     10     30     90     70     100    -1     0      1      1      1        0      0.0% -0.15     
10M  60     10     40     40     10     40     1      0      0      0      1        0      0.0% -0.10     
10M  60     10     40     40     50     30     -1     0      -1     -1     1        0      0.0% -0.14     
10M  60     10     40     60     20     70     0      0      0      0      1        1      100.0% 0.17      
10M  60     10     40     60     50     50     0      0      -1     -1     1        0      0.0% -0.21     
10M  60     10     50     10     30     30     -1     -1     0      0      1        0      0.0% -0.17     
10M  60     10     50     10     30     40     1      0      1      1      1        1      100.0% 0.17      
10M  60     10     50     20     50     30     0      0      0      0      1        1      100.0% 0.23      
10M  60     10     50     30     20     40     0      0      -1     -1     1        0      0.0% -0.08     
10M  60     10     50     30     20     50     -1     0      -1     -1     1        1      100.0% 0.23      
10M  60     10     50     40     10     70     1      0      0      0      1        0      0.0% -0.22     
10M  60     10     50     50     40     10     1      1      0      0      1        0      0.0% -0.12     
10M  60     10     60     10     10     20     1      0      -1     -1     1        0      0.0% -0.74     
10M  60     10     60     10     20     30     -1     -1     0      0      1        1      100.0% 0.23      
